"fna","nam"
"Estado Plurinacional de Bolivia","Bolivia"
"República de Nicaragua","Nicaragua"
"República Francesa","Francia"
"República de Panamá","Panamá"
"República del Perú","Perú"
"República de Mozambique","Mozambique"
"República Islámica de Mauritania","Mauritania"
"Nueva Zelandia","Nueva Zelanda"
"Estados Unidos de América","Estados Unidos de América"
"Irlanda","Irlanda"
"República Popular Democrática de Corea","Corea del Norte"
"República del Yemen","Yemen"
"Reino de Marruecos","Marruecos"
"Reino de Tailandia","Tailandia"
"República de Botswana","Botswana"
"República Centroafricana","República Centroafricana"
"República Checa","República Checa"
"República de Belarús","Belarús"
"Reino Unido de Gran Bretaña e Irlanda del Norte","Reino Unido"
"República de la India","India"
"Aruba (NLD)","Aruba (NLD)"
"República de Colombia","Colombia"
"República de Costa Rica","Costa Rica"
"República de Cuba","Cuba"
"República Bolivariana de Venezuela","Venezuela"
"Anguila (GBR)","Anguila (GBR)"
"Antigua y Barbuda","Antigua y Barbuda"
"Commonwealth de las Bahamas","Bahamas"
"Commonwealth de Dominica","Dominica"
"Granada","Granada"
"Pitcairn y Dependencias (GBR)","Pitcairn y Dependencias (GBR)"
"Belice","Belice"
"Bermudas (GBR)","Bermudas (GBR)"
"Barbados","Barbados"
"Canadá","Canadá"
"Rumania","Rumania"
"Jamaica","Jamaica"
"Saint Kitts y Nevis","San Cristóbal y Nieves"
"Santa Lucía","Santa Lucía"
"Estados Unidos Mexicanos","México"
"Montserrat (GBR)","Montserrat (GBR)"
"Puerto Rico (USA)","Puerto Rico (USA)"
"Saint Pierre y Miquelon (Francia)","Saint Pierre y Miquelon (Francia)"
"Turcas y Caicos (GBR)","Turcas y Caicos (GBR)"
"San Vicente y las Granadinas","San Vicente y las Granadinas"
"Islas Vírgenes (USA)","Islas Vírgenes (USA)"
"Islas Vírgenes (GBR)","Islas Vírgenes (GBR)"
"Nueva Caledonia (Francia)","Nueva Caledonia (Francia)"
"Aland (Finlandia)","Aland (Finlandia)"
"Emiratos Árabes Unidos","Emiratos Árabes Unidos"
"Samoa Americana (USA)","Samoa Americana (USA)"
"Burkina Faso","Burkina Faso"
"Isla de Man (GBR)","Isla de Man (GBR)"
"Islas Spratly","Islas Spratly"
"Brunei Darussalam","Brunei Darussalam"
"Islas Cook (Nueva Zelandia)","Islas Cook (Nueva Zelandia)"
"República Árabe de Egipto","Egipto"
"Islas Heard (AUS)","Islas Heard (AUS)"
"Papúa Nueva Guinea","Papúa Nueva Guinea"
"Polinesia Francesa (Francia)","Polinesia Francesa (Francia)"
"Islas Feroe (Dinamarca)","Islas Feroe (Dinamarca)"
"Islas del Canal (GBR)","Islas del Canal (GBR)"
"Gibraltar (GBR)","Gibraltar (GBR)"
"Guam (USA)","Guam (USA)"
"Malasia","Malasia"
"Islas de Chagos (GBR)","Islas de Chagos (GBR)"
"Japón","Japón"
"Jamahiriya Árabe Libia Popular y Socialista","Libia (Jamahiriya Árabe Libia)"
"Gran Ducado de Luxemburgo","Luxemburgo"
"Tuvalu","Tuvalu"
"Ucrania","Ucrania"
"ex República Yugoslava de Macedonia","Macedonia"
"Islas Niue (Nueva Zelandia)","Islas Niue (Nueva Zelandia)"
"Sultanía de Omán","Omán"
"Montenegro","Montenegro"
"Mongolia","Mongolia"
"Islas Marianas Septentrionales (USA)","Islas Marianas Septentrionales (USA)"
"Sahara Occidental","Sahara Occidental"
"La República de Sudán del Sur","Sudán del Sur"
"Santa Helena (GBR)","Santa Helena (GBR)"
"Islas Salomón","Islas Salomón"
"Turkmenistán","Turkmenistán"
"Wallis y Futuna (Francia)","Wallis y Futuna (Francia)"
"Mayotte (FRA)","Mayotte (FRA)"
"Guayana Francesa (Francia)","Guayana Francesa (Francia)"
"Martinica (Francia)","Martinica (Francia)"
"Guadalupe (Francia)","Guadalupe (Francia)"
"Unión de las Comoras","Comoras"
"Islas Kerguelén (FRA)","Islas Kerguelén (FRA)"
"Islas Crozet (FRA)","Islas Crozet (FRA)"
"Groenlandia (Dinamarca)","Groenlandia (Dinamarca)"
"República Islámica del Irán","Irán"
"Principado de Andorra","Andorra"
"República de Georgia","Georgia"
"República de Ghana","Ghana"
"República de Guinea","Guinea"
"Islas Christmas (Australia)","Islas Christmas (Australia)"
"República de Iraq","Iraq"
"República de Islandia","Islandia"
"Macao (Región Administrativa Especial) (China)","Macao (Región Administrativa Especial) (China)"
"Islas Cocos (Australia)","Islas Cocos (Australia)"
"Reino de España","España"
"Principado de Mónaco","Mónaco"
"República de Moldova","Moldova"
"República de Madagascar","Madagascar"
"República de Maldivas","Maldivas"
"Melilla (Ciudad Autónoma) (España)","Melilla (Ciudad Autónoma) (España)"
"Reunión (Francia)","Reunión (Francia)"
"República Federativa del Brasil","Brasil"
"República de Chile","Chile"
"República Oriental del Uruguay","Uruguay"
"República del Paraguay","Paraguay"
"República Árabe Siria","Siria"
"Reino de los Países Bajos","Países Bajos (Holanda)"
"Reino de Suecia","Suecia"
"República Democrática de Santo Tomé y Príncipe","Santo Tomé y Príncipe"
"República Eslovaca","Eslovaquia"
"República de Eslovenia","Eslovenia"
"Reino de Swazilandia","Swazilandia"
"República de Seychelles","Seychelles"
"República del Chad","Chad"
"Ceuta (Ciudad Autónoma) (España)","Ceuta (Ciudad Autónoma) (España)"
"República Portuguesa","Portugal"
"República de Tayikistán","Tayikistán"
"Antillas Holandesas (NLD)","Antillas Holandesas (NLD)"
"Caimán (GBR)","Caimán (GBR)"
"República Dominicana","República Dominicana"
"República del Ecuador","Ecuador"
"Estado Islámico del Afganistán","Afganistán"
"República Popular de Angola","Angola"
"República de Haití","Haití"
"República de Guatemala","Guatemala"
"República Guyana","Guyana"
"República de Honduras","Honduras"
"República de El Salvador","El Salvador"
"República de Suriname","Suriname"
"República de Trinidad y Tobago","Trinidad y Tobago"
"República de Albania","Albania"
"República de Armenia","Armenia"
"Australia","Australia"
"República de Austria","Austria"
"República de  Azerbaiyán","Azerbaiyán"
"República de Burundi","Burundi"
"Reino de Bélgica","Bélgica"
